Vardas           Pavarde            Egzaminas ND1       ND2       ND3       ND4       ND5       
Vardenis154      Pavardenis154      10        9         9         10        9         8         
Vardenis155      Pavardenis155      1         2         10        10        10        6         
Vardenis156      Pavardenis156      4         5         10        5         1         2         
Vardenis157      Pavardenis157      5         10        6         3         7         7         
Vardenis158      Pavardenis158      2         1         5         3         7         4         
Vardenis159      Pavardenis159      4         5         5         8         3         7         
Vardenis160      Pavardenis160      10        7         3         1         10        8         
Vardenis161      Pavardenis161      7         9         8         1         1         6         
Vardenis162      Pavardenis162      9         5         7         7         9         2         
Vardenis163      Pavardenis163      3         7         7         10        6         1         
Vardenis164      Pavardenis164      6         8         8         4         4         4         
Vardenis165      Pavardenis165      9         7         8         2         5         5         
Vardenis166      Pavardenis166      9         7         8         8         3         7         
Vardenis167      Pavardenis167      4         8         3         4         4         2         
Vardenis168      Pavardenis168      3         9         7         3         5         7         
Vardenis169      Pavardenis169      9         4         3         1         2         2         
Vardenis170      Pavardenis170      7         7         7         4         9         9         
Vardenis171      Pavardenis171      4         10        10        5         2         3         
Vardenis172      Pavardenis172      9         9         9         4         3         8         
Vardenis173      Pavardenis173      5         9         10        3         1         1         
Vardenis174      Pavardenis174      9         6         7         3         6         2         
Vardenis175      Pavardenis175      4         7         2         9         8         8         
Vardenis176      Pavardenis176      6         9         9         8         9         9         
Vardenis177      Pavardenis177      3         10        6         2         3         2         
Vardenis178      Pavardenis178      5         4         2         6         1         7         
Vardenis179      Pavardenis179      6         1         3         9         8         2         
Vardenis180      Pavardenis180      1         4         6         10        6         2         
Vardenis181      Pavardenis181      3         6         2         6         4         1         
Vardenis182      Pavardenis182      10        8         5         3         5         3         
Vardenis183      Pavardenis183      1         5         6         5         9         1         
Vardenis184      Pavardenis184      8         5         5         3         4         4         
Vardenis185      Pavardenis185      6         9         4         10        1         2         
Vardenis186      Pavardenis186      8         7         9         8         5         9         
Vardenis187      Pavardenis187      4         8         7         2         7         1         
Vardenis188      Pavardenis188      5         3         5         4         5         10        
Vardenis189      Pavardenis189      2         9         5         8         4         10        
Vardenis190      Pavardenis190      5         8         6         6         2         10        
Vardenis191      Pavardenis191      7         8         3         4         4         7         
Vardenis192      Pavardenis192      10        7         6         10        7         1         
Vardenis193      Pavardenis193      5         9         8         6         5         2         
Vardenis194      Pavardenis194      7         2         1         5         9         9         
Vardenis195      Pavardenis195      6         10        10        5         4         6         
Vardenis196      Pavardenis196      9         5         6         10        6         10        
Vardenis197      Pavardenis197      8         6         8         7         8         7         
Vardenis198      Pavardenis198      6         4         9         10        9         4         
Vardenis199      Pavardenis199      7         2         6         2         9         10        
Vardenis200      Pavardenis200      7         1         10        2         7         2         
Vardenis201      Pavardenis201      10        5         7         10        3         7         
Vardenis202      Pavardenis202      7         4         9         2         4         1         
Vardenis203      Pavardenis203      2         7         9         3         1         3         
Vardenis204      Pavardenis204      10        2         6         10        7         1         
Vardenis205      Pavardenis205      6         7         2         2         7         6         
Vardenis206      Pavardenis206      5         10        9         2         1         9         
Vardenis207      Pavardenis207      8         4         8         2         4         9         
Vardenis208      Pavardenis208      10        8         10        3         8         5         
Vardenis209      Pavardenis209      9         3         10        4         3         7         
Vardenis210      Pavardenis210      2         2         4         3         3         4         
Vardenis211      Pavardenis211      10        2         7         10        6         5         
Vardenis212      Pavardenis212      6         4         4         1         5         4         
Vardenis213      Pavardenis213      8         6         3         2         7         10        
Vardenis214      Pavardenis214      6         9         4         2         3         9         
Vardenis215      Pavardenis215      7         1         1         1         3         7         
Vardenis216      Pavardenis216      2         1         6         3         5         1         
Vardenis217      Pavardenis217      7         1         7         6         7         5         
Vardenis218      Pavardenis218      10        9         6         3         5         7         
Vardenis219      Pavardenis219      3         4         2         10        3         1         
Vardenis220      Pavardenis220      3         7         5         5         8         9         
Vardenis221      Pavardenis221      9         7         7         9         4         9         
Vardenis222      Pavardenis222      1         2         2         7         5         9         
Vardenis223      Pavardenis223      1         7         5         5         4         6         
Vardenis224      Pavardenis224      4         7         6         10        3         6         
Vardenis225      Pavardenis225      2         5         4         4         8         6         
Vardenis226      Pavardenis226      4         6         8         9         2         6         
Vardenis227      Pavardenis227      2         6         8         9         1         7         
Vardenis228      Pavardenis228      7         4         1         4         8         5         
Vardenis229      Pavardenis229      6         4         4         1         6         7         
Vardenis230      Pavardenis230      10        9         10        4         5         6         
Vardenis231      Pavardenis231      7         8         2         5         2         10        
Vardenis232      Pavardenis232      7         2         6         5         10        2         
Vardenis233      Pavardenis233      9         3         10        1         1         5         
Vardenis234      Pavardenis234      9         1         4         2         7         4         
Vardenis235      Pavardenis235      3         8         6         3         3         10        
Vardenis236      Pavardenis236      7         9         8         5         4         1         
Vardenis237      Pavardenis237      9         9         8         3         1         4         
Vardenis238      Pavardenis238      6         5         9         7         10        4         
Vardenis239      Pavardenis239      5         10        4         1         3         3         
Vardenis240      Pavardenis240      1         1         6         5         3         2         
Vardenis241      Pavardenis241      10        1         5         9         9         3         
Vardenis242      Pavardenis242      2         5         1         8         9         1         
Vardenis243      Pavardenis243      4         3         5         2         1         9         
Vardenis244      Pavardenis244      1         10        3         1         10        4         
Vardenis245      Pavardenis245      8         7         6         8         9         2         
Vardenis246      Pavardenis246      2         5         3         9         3         1         
Vardenis247      Pavardenis247      2         8         10        3         3         5         
Vardenis248      Pavardenis248      8         5         5         3         2         3         
Vardenis249      Pavardenis249      5         7         4         8         5         2         
Vardenis250      Pavardenis250      9         1         7         8         7         5         
Vardenis251      Pavardenis251      7         3         8         2         6         10        
Vardenis252      Pavardenis252      5         3         2         5         6         7         
Vardenis253      Pavardenis253      8         6         7         3         7         10        
Vardenis254      Pavardenis254      5         4         3         3         10        2         
Vardenis255      Pavardenis255      7         10        8         1         5         10        
Vardenis256      Pavardenis256      2         6         2         9         7         6         
Vardenis257      Pavardenis257      10        7         10        7         1         1         
Vardenis258      Pavardenis258      7         5         1         3         3         7         
Vardenis259      Pavardenis259      6         7         3         3         3         1         
Vardenis260      Pavardenis260      6         1         4         6         4         9         
Vardenis261      Pavardenis261      9         4         2         4         6         7         
Vardenis262      Pavardenis262      9         9         2         10        8         1         
Vardenis263      Pavardenis263      6         7         2         10        9         8         
Vardenis264      Pavardenis264      4         10        7         5         10        9         
Vardenis265      Pavardenis265      3         7         9         10        9         9         
Vardenis266      Pavardenis266      1         8         10        9         1         1         
Vardenis267      Pavardenis267      6         7         10        3         6         3         
Vardenis268      Pavardenis268      5         7         3         2         5         7         
Vardenis269      Pavardenis269      9         3         2         8         6         8         
Vardenis270      Pavardenis270      2         9         8         8         3         7         
Vardenis271      Pavardenis271      3         4         6         2         2         2         
Vardenis272      Pavardenis272      4         1         7         6         10        4         
Vardenis273      Pavardenis273      4         5         8         6         7         4         
Vardenis274      Pavardenis274      6         1         4         4         10        10        
Vardenis275      Pavardenis275      7         10        5         5         6         4         
Vardenis276      Pavardenis276      4         4         2         9         3         8         
Vardenis277      Pavardenis277      9         1         1         9         7         7         
Vardenis278      Pavardenis278      1         3         1         3         6         8         
Vardenis279      Pavardenis279      6         8         9         10        6         4         
Vardenis280      Pavardenis280      10        8         1         1         4         7         
Vardenis281      Pavardenis281      6         9         10        5         8         5         
Vardenis282      Pavardenis282      6         2         8         1         8         5         
Vardenis283      Pavardenis283      6         10        9         10        3         1         
Vardenis284      Pavardenis284      9         1         2         9         3         5         
Vardenis285      Pavardenis285      8         2         4         5         6         9         
Vardenis286      Pavardenis286      8         8         1         4         9         6         
Vardenis287      Pavardenis287      9         6         5         3         9         4         
Vardenis288      Pavardenis288      8         5         2         8         3         10        
Vardenis289      Pavardenis289      5         7         6         2         6         9         
Vardenis290      Pavardenis290      3         6         7         3         1         3         
Vardenis291      Pavardenis291      3         5         9         6         9         1         
Vardenis292      Pavardenis292      6         4         3         4         10        4         
Vardenis293      Pavardenis293      7         3         1         2         8         2         
Vardenis294      Pavardenis294      1         9         10        1         6         4         
Vardenis295      Pavardenis295      2         5         10        4         6         2         
Vardenis296      Pavardenis296      10        6         8         9         9         4         
Vardenis297      Pavardenis297      2         4         10        4         2         5         
Vardenis298      Pavardenis298      6         6         6         2         3         4         
Vardenis299      Pavardenis299      6         3         4         8         10        6         
Vardenis300      Pavardenis300      5         4         4         10        3         7         
Vardenis301      Pavardenis301      3         4         2         6         6         3         
Vardenis302      Pavardenis302      9         2         5         3         8         1         
Vardenis303      Pavardenis303      1         5         10        9         2         4         
Vardenis304      Pavardenis304      7         1         1         3         1         6         
Vardenis305      Pavardenis305      10        10        3         3         10        10        
Vardenis306      Pavardenis306      9         1         2         1         8         4         
Vardenis307      Pavardenis307      2         10        6         6         2         8         
Vardenis308      Pavardenis308      6         2         3         7         8         1         
Vardenis309      Pavardenis309      4         10        6         5         1         3         
Vardenis310      Pavardenis310      4         10        1         10        9         2         
Vardenis311      Pavardenis311      5         2         4         4         6         8         
Vardenis312      Pavardenis312      10        1         2         6         2         6         
Vardenis313      Pavardenis313      5         2         3         10        7         4         
Vardenis314      Pavardenis314      4         5         1         3         10        10        
Vardenis315      Pavardenis315      9         7         7         8         6         8         
Vardenis316      Pavardenis316      1         7         1         2         6         9         
Vardenis317      Pavardenis317      1         4         7         10        4         6         
Vardenis318      Pavardenis318      3         2         4         8         3         4         
Vardenis319      Pavardenis319      8         7         5         6         3         4         
Vardenis320      Pavardenis320      2         4         3         8         6         6         
Vardenis321      Pavardenis321      9         6         7         3         8         2         
Vardenis322      Pavardenis322      9         6         8         6         3         7         
Vardenis323      Pavardenis323      1         3         7         8         2         10        
Vardenis324      Pavardenis324      10        6         7         7         10        2         
Vardenis325      Pavardenis325      8         5         6         7         8         8         
Vardenis326      Pavardenis326      1         2         5         4         2         10        
Vardenis327      Pavardenis327      4         9         3         8         5         9         
Vardenis328      Pavardenis328      9         4         4         9         4         6         
Vardenis329      Pavardenis329      1         10        7         8         3         4         
Vardenis330      Pavardenis330      1         3         7         2         8         10        
Vardenis331      Pavardenis331      6         7         2         8         6         2         
Vardenis332      Pavardenis332      6         2         2         5         3         8         
Vardenis333      Pavardenis333      9         4         3         1         4         3         
Vardenis334      Pavardenis334      9         10        5         4         7         8         
Vardenis335      Pavardenis335      1         8         9         3         3         10        
Vardenis336      Pavardenis336      5         2         4         7         1         7         
Vardenis337      Pavardenis337      3         2         2         6         6         4         
Vardenis338      Pavardenis338      3         8         6         4         9         2         
Vardenis339      Pavardenis339      4         2         3         9         9         8         
Vardenis340      Pavardenis340      2         3         1         3         9         9         
Vardenis341      Pavardenis341      9         3         5         1         2         10        
Vardenis342      Pavardenis342      10        1         8         9         7         5         
Vardenis343      Pavardenis343      8         8         8         5         7         5         
Vardenis344      Pavardenis344      1         3         3         10        3         4         
Vardenis345      Pavardenis345      6         8         6         6         10        2         
Vardenis346      Pavardenis346      8         5         3         6         5         3         
Vardenis347      Pavardenis347      5         3         9         6         2         8         
Vardenis348      Pavardenis348      1         7         10        10        3         10        
Vardenis349      Pavardenis349      6         4         2         9         4         4         
Vardenis350      Pavardenis350      8         5         4         9         10        4         
Vardenis351      Pavardenis351      2         7         7         8         9         6         
Vardenis352      Pavardenis352      6         6         4         2         8         3         
Vardenis353      Pavardenis353      9         8         8         1         9         10        
Vardenis354      Pavardenis354      2         1         6         2         8         4         
Vardenis355      Pavardenis355      10        9         4         2         4         2         
Vardenis356      Pavardenis356      7         7         3         3         9         9         
Vardenis357      Pavardenis357      4         2         7         3         9         1         
Vardenis358      Pavardenis358      3         9         6         7         7         9         
Vardenis359      Pavardenis359      10        4         10        5         2         5         
Vardenis360      Pavardenis360      4         3         2         3         4         2         
Vardenis361      Pavardenis361      6         2         10        6         2         3         
Vardenis362      Pavardenis362      6         6         1         3         4         7         
Vardenis363      Pavardenis363      8         6         7         9         5         9         
Vardenis364      Pavardenis364      8         5         1         9         5         9         
Vardenis365      Pavardenis365      7         1         6         6         3         7         
Vardenis366      Pavardenis366      8         5         7         7         3         7         
Vardenis367      Pavardenis367      3         4         7         1         6         2         
Vardenis368      Pavardenis368      5         1         8         1         8         5         
Vardenis369      Pavardenis369      2         2         8         2         5         5         
Vardenis370      Pavardenis370      3         9         2         5         8         3         
Vardenis371      Pavardenis371      4         2         7         6         3         2         
Vardenis372      Pavardenis372      7         6         1         6         9         1         
Vardenis373      Pavardenis373      3         9         5         3         6         10        
Vardenis374      Pavardenis374      3         5         8         7         6         3         
Vardenis375      Pavardenis375      7         5         2         5         3         2         
Vardenis376      Pavardenis376      3         4         10        6         10        4         
Vardenis377      Pavardenis377      1         7         4         1         2         6         
Vardenis378      Pavardenis378      10        1         3         2         2         7         
Vardenis379      Pavardenis379      10        1         6         3         8         3         
Vardenis380      Pavardenis380      8         10        10        10        2         4         
Vardenis381      Pavardenis381      6         8         2         1         10        10        
Vardenis382      Pavardenis382      7         8         7         4         6         6         
Vardenis383      Pavardenis383      8         2         10        3         6         1         
Vardenis384      Pavardenis384      5         9         2         9         9         7         
Vardenis385      Pavardenis385      6         7         10        8         6         7         
Vardenis386      Pavardenis386      6         4         3         6         8         7         
Vardenis387      Pavardenis387      2         1         5         4         10        3         
Vardenis388      Pavardenis388      7         6         8         9         7         6         
Vardenis389      Pavardenis389      9         9         1         9         10        4         
Vardenis390      Pavardenis390      9         8         8         5         5         4         
Vardenis391      Pavardenis391      1         7         3         10        9         5         
Vardenis392      Pavardenis392      10        4         4         4         6         1         
Vardenis393      Pavardenis393      9         4         1         3         2         4         
Vardenis394      Pavardenis394      5         5         9         9         1         4         
Vardenis395      Pavardenis395      5         2         1         6         1         5         
Vardenis396      Pavardenis396      7         3         2         2         1         8         
Vardenis397      Pavardenis397      6         6         7         5         4         7         
Vardenis398      Pavardenis398      1         1         10        9         4         2         
Vardenis399      Pavardenis399      5         1         7         8         1         6         
Vardenis400      Pavardenis400      4         4         7         4         9         6         
Vardenis401      Pavardenis401      1         4         2         2         9         8         
Vardenis402      Pavardenis402      9         4         10        7         10        9         
Vardenis403      Pavardenis403      10        6         3         5         2         8         
Vardenis404      Pavardenis404      7         9         3         6         10        5         
Vardenis405      Pavardenis405      7         5         3         9         2         4         
Vardenis406      Pavardenis406      1         3         8         9         10        2         
Vardenis407      Pavardenis407      9         4         4         7         7         6         
Vardenis408      Pavardenis408      8         1         1         1         6         3         
Vardenis409      Pavardenis409      9         4         10        9         7         6         
Vardenis410      Pavardenis410      9         10        9         8         5         10        
Vardenis411      Pavardenis411      10        3         4         2         7         3         
Vardenis412      Pavardenis412      3         6         5         1         10        3         
Vardenis413      Pavardenis413      3         5         2         5         7         3         
Vardenis414      Pavardenis414      5         4         3         8         10        1         
Vardenis415      Pavardenis415      5         9         7         1         5         3         
Vardenis416      Pavardenis416      3         3         8         2         3         9         
Vardenis417      Pavardenis417      5         3         4         10        1         5         
Vardenis418      Pavardenis418      10        5         7         9         7         5         
Vardenis419      Pavardenis419      3         7         10        6         6         4         
Vardenis420      Pavardenis420      4         8         3         5         5         2         
Vardenis421      Pavardenis421      1         6         10        8         2         9         
Vardenis422      Pavardenis422      3         5         10        5         6         2         
Vardenis423      Pavardenis423      5         3         2         7         6         9         
Vardenis424      Pavardenis424      9         3         4         6         5         6         
Vardenis425      Pavardenis425      7         9         3         10        10        2         
Vardenis426      Pavardenis426      9         6         1         2         3         3         
Vardenis427      Pavardenis427      9         1         9         4         10        7         
Vardenis428      Pavardenis428      4         1         8         7         2         8         
Vardenis429      Pavardenis429      9         3         6         4         8         1         
Vardenis430      Pavardenis430      6         5         4         1         5         2         
Vardenis431      Pavardenis431      8         1         3         7         1         3         
Vardenis432      Pavardenis432      7         10        8         10        6         5         
Vardenis433      Pavardenis433      7         3         10        9         7         3         
Vardenis434      Pavardenis434      3         3         6         6         5         9         
Vardenis435      Pavardenis435      6         1         4         4         5         8         
Vardenis436      Pavardenis436      6         10        6         9         8         3         
Vardenis437      Pavardenis437      2         9         4         1         6         7         
Vardenis438      Pavardenis438      1         2         1         2         8         8         
Vardenis439      Pavardenis439      6         3         6         4         10        2         
Vardenis440      Pavardenis440      7         3         7         8         5         1         
Vardenis441      Pavardenis441      9         8         10        3         4         9         
Vardenis442      Pavardenis442      3         5         7         8         3         5         
Vardenis443      Pavardenis443      10        8         6         3         9         10        
Vardenis444      Pavardenis444      4         5         9         6         4         9         
Vardenis445      Pavardenis445      8         6         4         2         1         5         
Vardenis446      Pavardenis446      8         10        9         5         6         5         
Vardenis447      Pavardenis447      7         8         1         6         3         9         
Vardenis448      Pavardenis448      9         2         2         6         3         2         
Vardenis449      Pavardenis449      6         8         9         7         1         1         
Vardenis450      Pavardenis450      7         7         7         7         6         1         
Vardenis451      Pavardenis451      8         6         4         6         9         1         
Vardenis452      Pavardenis452      9         4         4         5         9         1         
Vardenis453      Pavardenis453      2         1         1         3         2         8         
Vardenis454      Pavardenis454      8         8         8         3         9         4         
Vardenis455      Pavardenis455      1         6         1         1         1         1         
Vardenis456      Pavardenis456      6         8         1         9         6         9         
Vardenis457      Pavardenis457      9         7         1         6         6         1         
Vardenis458      Pavardenis458      1         5         2         2         5         4         
Vardenis459      Pavardenis459      4         5         8         2         10        8         
Vardenis460      Pavardenis460      5         7         2         5         10        7         
Vardenis461      Pavardenis461      8         5         6         9         6         9         
Vardenis462      Pavardenis462      10        3         10        4         6         6         
Vardenis463      Pavardenis463      7         5         8         8         3         1         
